ID	Name	Equation	Definition	Genes
rxn00935_c0	(S)-Malate:(acceptor) oxidoreductase_c0	(1) cpd00015[c0] + (1) cpd00067[c0] + (1) cpd00130[c0] <=> (1) cpd00032[c0] + (1) cpd00982[c0]	(1) FAD_c0[c0] + (1) H+_c0[c0] + (1) L-Malate_c0[c0] <=> (1) Oxaloacetate_c0[c0] + (1) FADH2_c0[c0]	fig|6666666.1394842.peg.1946
rxn01673_c0	ATP:dCDP phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00008[c0] + (1) cpd00356[c0]	(1) ATP_c0[c0] + (1) dCDP_c0[c0] <=> (1) ADP_c0[c0] + (1) dCTP_c0[c0]	fig|6666666.1394842.peg.2398
rxn02342_c0	R03270_c0	(1) cpd00213[c0] + (1) cpd03049[c0] <=> (1) cpd00056[c0] + (1) cpd00836[c0]	(1) Lipoamide_c0[c0] + (1) 2-Hydroxyethyl-ThPP_c0[c0] <=> (1) TPP_c0[c0] + (1) S-Acetyldihydrolipoamide_c0[c0]	fig|6666666.1394842.peg.2275
rxn00973_c0	citrate hydroxymutase_c0	(1) cpd00137[c0] <=> (1) cpd00260[c0]	(1) Citrate_c0[c0] <=> (1) Isocitrate_c0[c0]	(Unknown and Unknown and Unknown and fig|6666666.1394842.peg.1692 and fig|6666666.1394842.peg.1692)
rxn02000_c0	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0	(1) cpd00521[c0] <=> (1) cpd00522[c0]	(1) dTDP-4-oxo-6-deoxy-D-glucose_c0[c0] <=> (1) dTDP-4-oxo-L-rhamnose_c0[c0]	fig|6666666.1394842.peg.393
rxn02632_c0	(S,S)-Butane-2,3-diol:NAD+ oxidoreductase_c0	(1) cpd00003[c0] + (1) cpd01949[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd01221[c0]	(1) NAD_c0[c0] + (1) (S,S)-2,3-Butanediol_c0[c0] <=> (1) NADH_c0[c0] + (1) H+_c0[c0] + (1) (S)-Acetoin_c0[c0]	fig|6666666.1394842.peg.2814
rxn04271_c0	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd08739[c0] <=> (1) cpd00004[c0] + (2) cpd00067[c0] + (1) cpd08740[c0]	(1) H2O_c0[c0] + (1) NAD_c0[c0] + (1) trans-2-Methyl-5-isopropylhexa-2,5-dienal_c0[c0] <=> (1) NADH_c0[c0] + (2) H+_c0[c0] + (1) trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid_c0[c0]	fig|6666666.1394842.peg.305
rxn13783_c0	DNA replication_c0	 => (1) cpd17042[c0]	 => (1) DNA replication_c0[c0]	(fig|6666666.1394842.peg.940 and fig|6666666.1394842.peg.2376 and fig|6666666.1394842.peg.368 and fig|6666666.1394842.peg.286 and Unknown and Unknown and (fig|6666666.1394842.peg.2163 or fig|6666666.1394842.peg.1375) and fig|6666666.1394842.peg.1 and fig|6666666.1394842.peg.1561 and fig|6666666.1394842.peg.6 and fig|6666666.1394842.peg.3 and Unknown and fig|6666666.1394842.peg.2092 and fig|6666666.1394842.peg.1558 and Unknown and fig|6666666.1394842.peg.13 and (fig|6666666.1394842.peg.2031 or fig|6666666.1394842.peg.3215 or fig|6666666.1394842.peg.2561 or fig|6666666.1394842.peg.2508) and Unknown and Unknown and (fig|6666666.1394842.peg.365 or fig|6666666.1394842.peg.2767) and fig|6666666.1394842.peg.1754 and Unknown and Unknown)
rxn10118_c0	hydrogenase (ubiquinone-8: 2 protons) (periplasm)_c0	(2) cpd00067[c0] + (1) cpd11640[c0] + (1) cpd15560[c0] => (2) cpd00067[e0] + (1) cpd15561[c0]	(2) H+_c0[c0] + (1) H2_c0[c0] + (1) Ubiquinone-8_c0[c0] => (2) H+_e0[e0] + (1) Ubiquinol-8_c0[c0]	(Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and fig|6666666.1394842.peg.1283 and Unknown and Unknown and Unknown)
rxn12008_c0	R05611_c0	(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd02557[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]	(1) PPi_c0[c0] + (1) H+_c0[c0] + (1) Farnesylfarnesylgeraniol_c0[c0] <= (1) Isopentenyldiphosphate_c0[c0] + (1) all-trans-Heptaprenyl diphosphate_c0[c0]	fig|6666666.1394842.peg.549
rxn00199_c0	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)_c0	(1) cpd00067[c0] + (1) cpd03187[c0] => (1) cpd00011[c0] + (1) cpd00024[c0]	(1) H+_c0[c0] + (1) Oxalosuccinate_c0[c0] => (1) CO2_c0[c0] + (1) 2-Oxoglutarate_c0[c0]	fig|6666666.1394842.peg.740
rxn04648_c0	catechol:oxygen 1,2-oxidoreductase_c0	(1) cpd00007[c0] + (1) cpd09310[c0] <=> (2) cpd00067[c0] + (1) cpd09312[c0]	(1) O2_c0[c0] + (1) 3,4,6-Trichlorocatechol_c0[c0] <=> (2) H+_c0[c0] + (1) 2,3,5-Trichloro-cis,cis-muconate_c0[c0]	fig|6666666.1394842.peg.2430
rxn12637_c0	RXN0-6987.c_c0	(1) cpd00001[c0] + (1) cpd11589[c0] <=> (1) cpd00033[c0] + (1) cpd00041[c0]	(1) H2O_c0[c0] + (1) gly-asp-L_c0[c0] <=> (1) Glycine_c0[c0] + (1) L-Aspartate_c0[c0]	((fig|6666666.1394842.peg.630 or fig|6666666.1394842.peg.1951) or fig|6666666.1394842.peg.2236 or fig|6666666.1394842.peg.1772 or (fig|6666666.1394842.peg.400 or fig|6666666.1394842.peg.2534))
rxn09240_c0	Sulfate adenyltransferase_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00038[c0] + (1) cpd00048[c0] <=> (1) cpd00009[c0] + (1) cpd00012[c0] + (1) cpd00031[c0] + (1) cpd00067[c0] + (1) cpd00193[c0]	(1) H2O_c0[c0] + (1) ATP_c0[c0] + (1) GTP_c0[c0] + (1) Sulfate_c0[c0] <=> (1) Phosphate_c0[c0] + (1) PPi_c0[c0] + (1) GDP_c0[c0] + (1) H+_c0[c0] + (1) APS_c0[c0]	(fig|6666666.1394842.peg.2957 and fig|6666666.1394842.peg.2956)
rxn01219_c0	ATP:dCMP phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00067[c0] + (1) cpd00206[c0] <=> (1) cpd00008[c0] + (1) cpd00533[c0]	(1) ATP_c0[c0] + (1) H+_c0[c0] + (1) dCMP_c0[c0] <=> (1) ADP_c0[c0] + (1) dCDP_c0[c0]	fig|6666666.1394842.peg.1563
rxn00519_c0	ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming)_c0	(1) cpd00032[c0] + (1) cpd00068[c0] <=> (1) cpd00011[c0] + (1) cpd00061[c0] + (1) cpd00090[c0]	(1) Oxaloacetate_c0[c0] + (1) ITP_c0[c0] <=> (1) CO2_c0[c0] + (1) Phosphoenolpyruvate_c0[c0] + (1) IDP_c0[c0]	fig|6666666.1394842.peg.1756
rxn00258_c0	Malonyl-CoA:pyruvate carboxytransferase_c0	(1) cpd00020[c0] + (1) cpd00070[c0] <=> (1) cpd00022[c0] + (1) cpd00032[c0]	(1) Pyruvate_c0[c0] + (1) Malonyl-CoA_c0[c0] <=> (1) Acetyl-CoA_c0[c0] + (1) Oxaloacetate_c0[c0]	fig|6666666.1394842.peg.1764
rxn00800_c0	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0	(1) cpd02375[c0] <=> (1) cpd00018[c0] + (1) cpd00106[c0]	(1) Adenylosuccinate_c0[c0] <=> (1) AMP_c0[c0] + (1) Fumarate_c0[c0]	(fig|6666666.1394842.peg.2734 or fig|6666666.1394842.peg.2734)
rxn02121_c0	Succinyl-CoA:citramalate CoA-transferase_c0	(1) cpd00067[c0] + (1) cpd00078[c0] + (1) cpd00607[c0] <=> (1) cpd00036[c0] + (1) cpd00671[c0]	(1) H+_c0[c0] + (1) Succinyl-CoA_c0[c0] + (1) Citramalate_c0[c0] <=> (1) Succinate_c0[c0] + (1) Citramalyl-CoA_c0[c0]	(fig|6666666.1394842.peg.1661 or fig|6666666.1394842.peg.317)
rxn09177_c0	(R)-4'-Phosphopantothenate:L-cysteine ligase_c0	(1) cpd00052[c0] + (1) cpd00084[c0] + (1) cpd02201[c0] => (1) cpd00012[c0] + (1) cpd00046[c0] + (2) cpd00067[c0] + (1) cpd02666[c0]	(1) CTP_c0[c0] + (1) L-Cysteine_c0[c0] + (1) 4-phosphopantothenate_c0[c0] => (1) PPi_c0[c0] + (1) CMP_c0[c0] + (2) H+_c0[c0] + (1) (R)-4'-Phosphopantothenoyl-L-cysteine_c0[c0]	fig|6666666.1394842.peg.1756
rxn00211_c0	UDP-glucose:NAD+ 6-oxidoreductase_c0	(1) cpd00001[c0] + (2) cpd00003[c0] + (1) cpd00026[c0] <=> (2) cpd00004[c0] + (3) cpd00067[c0] + (1) cpd00144[c0]	(1) H2O_c0[c0] + (2) NAD_c0[c0] + (1) UDP-glucose_c0[c0] <=> (2) NADH_c0[c0] + (3) H+_c0[c0] + (1) UDPglucuronate_c0[c0]	(fig|6666666.1394842.peg.426 or fig|6666666.1394842.peg.632 or fig|6666666.1394842.peg.3001)
rxn00179_c0	ATP:L-glutamate 5-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00023[c0] <=> (1) cpd00008[c0] + (1) cpd02097[c0]	(1) ATP_c0[c0] + (1) L-Glutamate_c0[c0] <=> (1) ADP_c0[c0] + (1) L-Glutamyl 5-phosphate_c0[c0]	fig|6666666.1394842.peg.2386
rxn02945_c0	prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase_c0	(1) cpd02168[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd03211[c0]	(1) Prephytoene diphosphate_c0[c0] => (1) PPi_c0[c0] + (1) H+_c0[c0] + (1) 15-cis-Phytoene_c0[c0]	fig|6666666.1394842.peg.701
rxn01210_c0	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)_c0	(1) cpd00002[c0] + (1) cpd00023[c0] + (1) cpd00201[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd03524[c0]	(1) ATP_c0[c0] + (1) L-Glutamate_c0[c0] + (1) 10-Formyltetrahydrofolate_c0[c0] => (1) ADP_c0[c0] + (1) Phosphate_c0[c0] + (1) H+_c0[c0] + (1) 10-Formyl-THF-L-glutamate_c0[c0]	(fig|6666666.1394842.peg.2403 and fig|6666666.1394842.peg.2403)
rxn00730_c0	Malonyl-CoA:anthranilate N-malonyltransferase_c0	(1) cpd00070[c0] + (1) cpd00093[c0] <=> (1) cpd00010[c0] + (1) cpd02014[c0]	(1) Malonyl-CoA_c0[c0] + (1) Anthranilate_c0[c0] <=> (1) CoA_c0[c0] + (1) N-Malonylanthranilate_c0[c0]	(fig|6666666.1394842.peg.1234 or fig|6666666.1394842.peg.1236)
rxn00192_c0	acetyl-CoA:L-glutamate N-acetyltransferase_c0	(1) cpd00022[c0] + (1) cpd00023[c0] => (1) cpd00010[c0] + (1) cpd00067[c0] + (1) cpd00477[c0]	(1) Acetyl-CoA_c0[c0] + (1) L-Glutamate_c0[c0] => (1) CoA_c0[c0] + (1) H+_c0[c0] + (1) N-Acetyl-L-glutamate_c0[c0]	fig|6666666.1394842.peg.1528
rxn01218_c0	2'-Deoxycytidine 5'-monophosphate phosphohydrolase_c0	(1) cpd00001[c0] + (1) cpd00206[c0] => (1) cpd00009[c0] + (1) cpd00654[c0]	(1) H2O_c0[c0] + (1) dCMP_c0[c0] => (1) Phosphate_c0[c0] + (1) Deoxycytidine_c0[c0]	fig|6666666.1394842.peg.384
rxn03360_c0	5-Hydroxykynurenamine decarboxy-lyase_c0	(1) cpd00011[c0] + (1) cpd03349[c0] <=> (1) cpd00067[c0] + (1) cpd03362[c0]	(1) CO2_c0[c0] + (1) 5-Hydroxykynurenamine_c0[c0] <=> (1) H+_c0[c0] + (1) 5-Hydroxykynurenine_c0[c0]	fig|6666666.1394842.peg.1736
rxn02898_c0	O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase_c0	(1) cpd02021[c0] => (1) cpd00010[c0] + (1) cpd02295[c0]	(1) Succinylbenzoyl-CoA_c0[c0] => (1) CoA_c0[c0] + (1) 1-4-Dihydroxy-2-naphthoate_c0[c0]	fig|6666666.1394842.peg.539
rxn05654_c0	Transport of succinate, extracellular_c0	(1) cpd00036[e0] + (1) cpd00067[e0] <=> (1) cpd00036[c0] + (1) cpd00067[c0]	(1) Succinate_e0[e0] + (1) H+_e0[e0] <=> (1) Succinate_c0[c0] + (1) H+_c0[c0]	fig|6666666.1394842.peg.2369
rxn01199_c0	ATP:D-xylulose 5-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00259[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd00198[c0]	(1) ATP_c0[c0] + (1) D-Lyxulose_c0[c0] <=> (1) ADP_c0[c0] + (1) H+_c0[c0] + (1) D-Xylulose5-phosphate_c0[c0]	fig|6666666.1394842.peg.145
rxn00545_c0	ATP:D-fructose-6-phosphate 1-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00072[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd00290[c0]	(1) ATP_c0[c0] + (1) D-fructose-6-phosphate_c0[c0] <=> (1) ADP_c0[c0] + (1) H+_c0[c0] + (1) D-fructose-1,6-bisphosphate_c0[c0]	fig|6666666.1394842.peg.1382
rxn08807_c0	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)_c0	(1) cpd00001[c0] + (1) cpd15317[c0] <=> (1) cpd00067[c0] + (1) cpd00908[c0] + (1) cpd15237[c0]	(1) H2O_c0[c0] + (1) 1-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl_c0[c0] <=> (1) H+_c0[c0] + (1) Glycerophosphoethanolamine_c0[c0] + (1) hexadecenoate_c0[c0]	(fig|6666666.1394842.peg.2703 or fig|6666666.1394842.peg.1948)
rxn05614_c0	L-methionine R-oxide transport via ABC system_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd11576[e0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd11576[c0]	(1) H2O_c0[c0] + (1) ATP_c0[c0] + (1) L-methionine R-oxide_e0[e0] => (1) ADP_c0[c0] + (1) Phosphate_c0[c0] + (1) H+_c0[c0] + (1) L-methionine R-oxide_c0[c0]	(fig|6666666.1394842.peg.713 and Unknown and fig|6666666.1394842.peg.711)
rxn10344_c0	Lead (Pb+2) ABC transporter_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd04097[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd04097[e0]	(1) H2O_c0[c0] + (1) ATP_c0[c0] + (1) Pb_c0[c0] => (1) ADP_c0[c0] + (1) Phosphate_c0[c0] + (1) H+_c0[c0] + (1) Pb_e0[e0]	(fig|6666666.1394842.peg.3204 or fig|6666666.1394842.peg.454 or fig|6666666.1394842.peg.3112 or fig|6666666.1394842.peg.3149 or fig|6666666.1394842.peg.3147 or fig|6666666.1394842.peg.3179 or fig|6666666.1394842.peg.3202 or fig|6666666.1394842.peg.3203 or fig|6666666.1394842.peg.3113)
rxn01547_c0	Guanosine aminohydrolase_c0	(1) cpd00001[c0] + (1) cpd00067[c0] + (1) cpd00311[c0] <=> (1) cpd00013[c0] + (1) cpd01217[c0]	(1) H2O_c0[c0] + (1) H+_c0[c0] + (1) Guanosine_c0[c0] <=> (1) NH3_c0[c0] + (1) Xanthosine_c0[c0]	fig|6666666.1394842.peg.2119
rxn02320_c0	5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase_c0	(1) cpd00024[c0] + (1) cpd00807[c0] <=> (1) cpd00023[c0] + (1) cpd00930[c0]	(1) 2-Oxoglutarate_c0[c0] + (1) L-histidinol-phosphate_c0[c0] <=> (1) L-Glutamate_c0[c0] + (1) imidazole acetol-phosphate_c0[c0]	(fig|6666666.1394842.peg.2131 and fig|6666666.1394842.peg.266)
rxn03384_c0	Uroporphyrinogen I carboxy-lyase_c0	(4) cpd00067[c0] + (1) cpd03414[c0] <=> (4) cpd00011[c0] + (1) cpd03416[c0]	(4) H+_c0[c0] + (1) UroporphyrinogenI_c0[c0] <=> (4) CO2_c0[c0] + (1) CoproporphyrinogenI_c0[c0]	fig|6666666.1394842.peg.503
rxn06488_c0	Deoxylimonate A-ring-lactonohydrolase_c0	(1) cpd00001[c0] + (1) cpd11999[c0] <=> (1) cpd00067[c0] + (1) cpd12503[c0]	(1) H2O_c0[c0] + (1) Deoxylimonate_c0[c0] <=> (1) H+_c0[c0] + (1) Deoxylimononic acid D-ring-lactone_c0[c0]	(fig|6666666.1394842.peg.1948 or fig|6666666.1394842.peg.2703)
rxn01405_c0	Spermidine:putrescine 4-aminobutyltransferase (propane-1,3-diamine-forming)_c0	(1) cpd00118[c0] + (1) cpd00264[c0] <=> (1) cpd00726[c0] + (1) cpd03802[c0]	(1) Putrescine_c0[c0] + (1) Spermidine_c0[c0] <=> (1) 1,3-Propanediamine_c0[c0] + (1) Homospermidine_c0[c0]	(fig|6666666.1394842.peg.2929 or fig|6666666.1394842.peg.2928 or fig|6666666.1394842.peg.2553)
rxn02504_c0	2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase_c0	(1) cpd02961[c0] <=> (1) cpd00229[c0] + (1) cpd00954[c0]	(1) Dihydroneopterin_c0[c0] <=> (1) Glycolaldehyde_c0[c0] + (1) 6-hydroxymethyl dihydropterin_c0[c0]	fig|6666666.1394842.peg.2838
rxn04996_c0	dimethyallyl diphosphate:NADP+ oxidoreductase_c0	(1) cpd00001[c0] + (1) cpd00006[c0] + (1) cpd00202[c0] <= (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd08615[c0]	(1) H2O_c0[c0] + (1) NADP_c0[c0] + (1) DMAPP_c0[c0] <= (1) NADPH_c0[c0] + (1) H+_c0[c0] + (1) 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate_c0[c0]	fig|6666666.1394842.peg.1162
rxn02796_c0	chenodeoxycholoyltaurine amidohydrolase_c0	(1) cpd00001[c0] + (1) cpd03246[c0] <=> (1) cpd00210[c0] + (1) cpd01663[c0]	(1) H2O_c0[c0] + (1) Taurochenodeoxycholate_c0[c0] <=> (1) Taurine_c0[c0] + (1) Chenodiol_c0[c0]	fig|6666666.1394842.peg.1915
rxn10262_c0	isopentadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase_c0	(1) cpd00080[c0] + (1) cpd15686[c0] <=> (1) cpd00046[c0] + (1) cpd15719[c0]	(1) Glycerol-3-phosphate_c0[c0] + (1) CDP-1,2-diisopentadecanoylglycerol_c0[c0] <=> (1) CMP_c0[c0] + (1) Diisopentadecanoylphosphatidylglycerophosphate_c0[c0]	fig|6666666.1394842.peg.1906
rxn10126_c0	succinate dehyrdogenase_c0	(1) cpd00982[c0] + (1) cpd15560[c0] => (1) cpd00015[c0] + (1) cpd00067[c0] + (1) cpd15561[c0]	(1) FADH2_c0[c0] + (1) Ubiquinone-8_c0[c0] => (1) FAD_c0[c0] + (1) H+_c0[c0] + (1) Ubiquinol-8_c0[c0]	(fig|6666666.1394842.peg.437 and fig|6666666.1394842.peg.436)
rxn10225_c0	isohexadecanoyl-phosphatidate cytidylyltransferase_c0	(1) cpd00052[c0] + (1) cpd15682[c0] <=> (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd15688[c0]	(1) CTP_c0[c0] + (1) 1,2-diisohexadecanoyl-sn-glycerol 3-phosphate_c0[c0] <=> (1) PPi_c0[c0] + (1) H+_c0[c0] + (1) CDP-1,2-diisohexadecanoylglycerol_c0[c0]	fig|6666666.1394842.peg.1966
rxn01486_c0	trans,trans-Farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase_c0	(1) cpd00113[c0] + (1) cpd00350[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00289[c0]	(1) Isopentenyldiphosphate_c0[c0] + (1) Farnesyldiphosphate_c0[c0] => (1) PPi_c0[c0] + (1) H+_c0[c0] + (1) Geranylgeranyl diphosphate_c0[c0]	(fig|6666666.1394842.peg.549 or (fig|6666666.1394842.peg.703 or fig|6666666.1394842.peg.2203) or fig|6666666.1394842.peg.701)
rxn00898_c0	2,3-Dihydroxy-3-methylbutanoate hydro-lyase_c0	(1) cpd02498[c0] => (1) cpd00001[c0] + (1) cpd00123[c0]	(1) 2,3-Dihydroxy-isovalerate_c0[c0] => (1) H2O_c0[c0] + (1) 3-Methyl-2-oxobutanoate_c0[c0]	fig|6666666.1394842.peg.1398
rxn05040_c0	D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)_c0	(1) cpd00171[c0] => (1) cpd00047[c0] + (1) cpd00067[c0] + (1) cpd11225[c0]	(1) D-Ribulose5-phosphate_c0[c0] => (1) Formate_c0[c0] + (1) H+_c0[c0] + (1) 3-4-dihydroxy-2-butanone4-phosphate_c0[c0]	(fig|6666666.1394842.peg.1747 and fig|6666666.1394842.peg.1747)
rxn01636_c0	N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase_c0	(1) cpd00023[c0] + (1) cpd00342[c0] <=> (1) cpd00064[c0] + (1) cpd00477[c0]	(1) L-Glutamate_c0[c0] + (1) N-Acetylornithine_c0[c0] <=> (1) Ornithine_c0[c0] + (1) N-Acetyl-L-glutamate_c0[c0]	fig|6666666.1394842.peg.1528
rxn02090_c0	Creatinine iminohydrolase_c0	(1) cpd00001[c0] + (1) cpd00067[c0] + (1) cpd00585[c0] <=> (1) cpd00013[c0] + (1) cpd01679[c0]	(1) H2O_c0[c0] + (1) H+_c0[c0] + (1) Creatinine_c0[c0] <=> (1) NH3_c0[c0] + (1) N-Methylhydantoin_c0[c0]	fig|6666666.1394842.peg.1747
rxn05582_c0	TRANS-RXNBWI-115637.ce.maizeexp.GLY_c0	(1) cpd00033[e0] + (1) cpd00067[e0] <=> (1) cpd00033[c0] + (1) cpd00067[c0]	(1) Glycine_e0[e0] + (1) H+_e0[e0] <=> (1) Glycine_c0[c0] + (1) H+_c0[c0]	fig|6666666.1394842.peg.546
rxn05505_c0	arsenobetaine transport in via proton symport_c0	(1) cpd00067[e0] + (1) cpd11597[e0] <=> (1) cpd00067[c0] + (1) cpd11597[c0]	(1) H+_e0[e0] + (1) ARSENOBETAINE_e0[e0] <=> (1) H+_c0[c0] + (1) ARSENOBETAINE_c0[c0]	(fig|6666666.1394842.peg.2362 or fig|6666666.1394842.peg.976)
